Id;Non Conformance Title;Classification;Pending Steps;Case Worker;Status;Registration Time;Registered By;Reoccurrence;Completed On;Impact Other;Investigation summary;Impact Assessment;Root cause description;Classification justification;Segregation of product;Discarded product;Started new production;Repeated operation/analysis
1;"The control batch was not tested for GC-HPLC analysis for product 9980 and 9990";;;Anna Huk;Completed;13/01/2022 12:42 PM;Elias Veidal;;28/02/2022 12:41 PM;"NA";;;;;;;;
2;"Wrong documents were transferred to BizzMine eQMS software";;;Anna Huk;Completed;13/01/2022 01:35 PM;Gro Stokke;;24/02/2022 09:32 AM;"The validation of cleanroom gowning was executed in 01.2022 according to the previous version of the DOC1074.1. The difference between the used document version and the current one is one additional test point and a change in the document layout. As validation plan in previous document version has one more  test point than current one, process execution is considered representative. Therefore there was no impact on quality of the executed process.  ";;;;;;;;
3;"Stored ELISA readings for 2 plates were identical";;;Gro Stokke;Completed;13/01/2022 02:33 PM;Gro Stokke;;03/02/2022 10:30 AM;"NA";;;;;;;;True
4;"Wrong medium used for Test Production";;;Gro Stokke;Completed;19/01/2022 12:09 PM;Mira Børstad;;19/07/2022 10:46 AM;"NA";;;;;;;True;
5;"Weekly cleaning in storage room not performed w52/2021 and w2/2022";;;Johanna Lindskog Frydendal;Completed;24/01/2022 10:24 AM;Johanna Lindskog Frydendal;;08/02/2022 07:28 AM;"NA";;;;;;;;
6;"Weekly environment monitoring on fridge in clean room not performed";;;Suyog Basnet;Completed;25/01/2022 09:32 AM;Suyog Basnet;;21/02/2022 09:09 AM;"Monitoring of the fridge in clean room has been within limit during the past weeks. There is not much activities in the fridge other than taking sealed flasks out and in of the fridge. Environment monitoring on the fridge was performed on 25.Jan.2022 and the results were 0/0 (CFU of Fungi/Bact.)  Thus we can conclude that the issue has no impact on production. ";;;;;;;;True
7;"Leakage from CP- ASM";;;Suyog Basnet;Completed;28/01/2022 04:29 PM;Suyog Basnet;;04/02/2022 03:02 PM;"One of the flowpath from same lot was returned to avoid risk of similar problem. ";;;;;True;True;;
8;"Sirius loggers stop transmitting measurements to JRI";;;Elias Veidal;Completed;31/01/2022 12:40 PM;Elias Veidal;;21/02/2023 10:26 AM;"NA";;;;;;;;
9;"Circulation pump leakage in AcuSyst Maximizer DIA030";;;Elias Veidal;Completed;02/02/2022 02:33 PM;Elias Veidal;;18/03/2022 03:01 PM;"Without the increased likelihood of infection, this deviation has no impact on the product quality. During the run there was no suspicion of infection(Change of color, decreased cell viability), despite the  frequent inspections. Since the risk of infection was low, is was decided that testing was not necessary.";;;;;;;;
10;"Used expired glucose strips ACCU-CHECK";;;Gro Stokke;Completed;08/02/2022 11:27 AM;Gro Stokke;;21/02/2022 09:13 AM;"NA";;;;;;;;
