CAPA ID;Title;Due Date;Deadline for effectiveness check;Assigned To;Pending Steps;Completed On;Category of Corrective Action;Priority;Action taken;Expected results of Action;Action plan;Description;Proposed responsible
294;"Repair of alarm sound in DIA025";30/06/2026;;Jim Eero Lamppu;"CAPA Execution";;Equipment / premises;Low;;"This CAPA is considered to be effective if incubator DIA025 gives off an alarms sound when tested by open door, after repair.";"Repair of alarm sound by service supplier in DIA025, to ensure that it has an audiable alarm if parameters are off.";;
293;"Update SOP0087 and corresponding Doc to open clamp on harvest at the end of Fill/Flush";30/04/2026;;Nina Granum;"CAPA Execution";;System /process;Normal;;"Next two runs after this capa has been implemented, have documented harvest clamp open during fill/flush. No deformities present in the harvest line due to obstructed flow in these two acusyst runs.";"SOP0087 is to be updated to specify that the clamp must be opened immediately when the harvest bottle is connected, ensuring that it is open at all times.  The flush/fill worksheet will be updated to specify that the clamp must be opened.";;
292;"Implement TFF as a part of BRA-4F1 production processing";30/04/2026;;Joakim Sørgård;"CAPA Execution";;System /process;High;;"next 2 batches of BRA-4F1 pass internal purity check at TFS.";"Implement TFF as a part of BRA-4F1 production processing, including specification in the product specifrication, and initiate a control plan specific for this product, which includes TFF. ";;
291;"Assessment and risk-based classification of data loss events in Sirius temperature loggers";21/08/2026;;Jim Eero Lamppu;"CAPA Execution";;Equipment / premises;Normal;Action performed;"Review the next 4 data loss events involving Sirius loggers to confirm correct classification and handling. Data loss events are consistently classified per defined framework.    No missed escalation of high-criticality events. ";"NC428 Lost data on DIA169 temp logger due to low battery: identified a short period of missing temperature data from a Sirius logger. Although no product or sample impact was identified and incubator performance was stable before and after the event, the incident highlighted that not all data loss scenarios carry the same criticality. Currently, there is no formal risk-based framework defining the impact and required actions for different types of data loss. Review historical deviations and incidents involving Sirius logger data loss (e.g. last 24 months) to identify patterns, frequency, duration, and root causes of data loss. Confirm whether any previously reported events resulted in product or sample impact.     CategoryDescriptionImpactLow  Short data gap, stable trend before/after, redundant monitoring available  No impact  Medium  Longer data gap, no redundancy, stable equipment  Potential risk  High  Data loss during critical phase or unstable conditions  High risk    Assess known failure modes of Sirius loggers (e.g. battery, communication dropouts, memory overwrite). Whether data gaps can occur without loss of actual temperature control.    Depending on the assessment findings, update SOP4032 to include instructions on: Risk-based assessment of logger data loss  Documentation requirements per criticality level ";;
290;"Update SOP 5039 v03 and associated Bizzmine workflow to align effectiveness evaluation instruction with ISO9001:2015 requirements.";31/03/2026;;Kawmadi Vithana;"CAPA Execution";;Documentation (SOP etc.);High;;"Confirm that:     SOP, WIN, and BizzMine workflow are aligned and approved     CAPAs cannot be closed without documented effectiveness evaluation and QA approval (Bizzmine check) ";"CMID119 raised as the corrective steps to address this identified gap requires multiple actions and a revalidation of the Bizzmine CAPA workflow.";;
289;"Establish PC/laptop in analytical/QC lab";23/01/2026;;Jim Eero Lamppu;"CAPA Execution";;System /process;Low;;"Effectiveness to be confirmed through routine review of electronic log entries as part of standard assay review. Over a 6-month period following CAPA implementation, no missed or mixed-up log entries related to lack of system access should be identified during these routine reviews. No reocurrence of the nonconformance should be observed during this period.";"Establish a PC/laptop in the QC area of the analytical lab, as required for the volume of activities needing access to Bizzmine or other networked systems. This will streamline and improve workflow for these processes.";;
288;"Test out different re-processing options for product BRA-4F1";31/03/2026;;Joakim Sørgård;"CAPA Execution";;System /process;High;;"The next produced batch of BRA-4F1 on purchase order #93293 should pass the quality criteria of 85% purity.";"Four actions have been proposed:  1: Curida Diatec will initiate  a feasibility study for using Amicron ultra spin column with higher cut-off (100kDa) as a polishing step. Curida Diatec may start initial testing of using this polishing process to assess its effectiveness concerning the issue. This also requires TFS to conduct internal tests to make sure the product behaves as intended after polishing.        2: If the spin column approach does not meet the target, the next step would be TFF.  3: If TFF does not achieve the required purity, we agreed with customer to revisit tech transfer of their affinity purification process.  4: The last option would be to perform a serum-free production approach. ";;
287;"Set up a communication plan to mitigate risk of miscommunications and misunderstandings";02/02/2026;;Christer Fjeld;"CAPA Execution";;System /process;High;;"Reduction of issues related to lack of communications.";"Through organization mapping and customer complaint, we have identified two issues that increase the risk of miscommunication and misunderstandings. The mitigation steps are based om two approaches.1. Set up a work instruction/ SOP containing a communication plan and stakeholder overview. 2. Define deputies for all roles and integrate those into the communication plan.   The expected result is to ensure that all critical operational tasks and customer expectations are obtained in the absence of dedicated personnel.";;
286;"Agree with customer how to proceed with M21C12 production";30/06/2026;;Gudrun Richstad;"CAPA Execution";;Other;High;;"Next batch of M21 is according to agreed specification";"Agree with customer how to proceed with M21C12 production before starting any more proudctions:   1. Adjust the specification to > 80% 2. Purchase a bigger SEC column to polish the product. Cost and timeline was shared with the customer. 3. Produce new batches and purify with alternative Protein A material, cost and timeline is shared with the customer 4. Curida Diatec stops producing M21C12 as it is a low margin product and the testing and troubleshooting far outweigh the pricetag.";;
285;"Replacement power supply will be included in the scheduled October 2025 service of Xcellerators and Maximizers.";03/04/2026;30/06/2026;Nina Granum;"CAPA Effectiveness Evaluation";;Equipment / premises;High;Action performed;"Observe the 5VDC supply during the next production to ensure CAPA effectiveness. If 5VDC is stabile within Target: 5.10 ± 0.01 VDC, recommeded 5,11VDC, CAPA is considered effective.";"Power supply will be included in the scheduled October 2025 service of Xcellerators and Maximizers. C3 service personnel will replace the DIA408 Xcellerator power supply, ensuring stabile supply of power to the Xcellerator eliminating the drift in 5VDC.   28.OCT.2025 JEL - The power supply has been changed during service of the instrument on the 24th of october 2025, see attached service/repair report. Power supply is functioning as it should. Will follow up with voltage measurements during next production for effectiveness check. ";;
284;"Update DOC0002.1 to include field for volume of cell suspension used for freezing";13/10/2025;;Nina Granum;;17/11/2025 08:19 AM;Documentation (SOP etc.);Low;Action performed;"Fewer than two instances per year where the number of viable cells and the percentage viability did not align with the expected values based on the reported number of frozen cells, resulting in a % viability below spec. during QC thawing.";"Update DOC0002.1 to include field for volume of cell suspension used for spin down (and hence freezing), to prevent uncertainty of how many cells are actually frozen per vial, and insure traceability.";;
283;"Retraining of operators in removing information from Sharepoint cellstock list";31/10/2025;;Nina Granum;;28/10/2025 02:22 PM;Personnel;Normal;;"3 months from execution of this CAPA, check Cellstock list if any stock locations are labelled as xxx. if no storage locations are marked as XXX, this CAPA is considered effective";"Retraining of operators in SOP0003 pt.9.3 what information is to be removed from cellstock.";;
282;"Update SOP0086 and DOC0086.4 increase drain cleaning frequency";05/09/2025;27/02/2026;Nina Granum;;02/03/2026 08:28 AM;Documentation (SOP etc.);Normal;Action performed;"After 6 months, open the water lock and check for biofilm/plug build up.";"Update SOP0086 and DOC0086.4 increase drain cleaning frequency from, 1000ml latona avløpsrens, every second month to 1000ml drain cleaner every month.";"24.FEB.2026:  The drain was inspected to verify whether the current cleaning regime is adequate. If no biofilm buildup was observed after about six months after drain maintenance, performed during NC immediate actions 25.08.2025, the cleaning procedure is considered sufficient.   JEL, together with NGR and HPJ, opened the drain pipe for inspection. No biofilm plug was observed.   Based on these findings, the CAPA is considered effective and successfully implemented.";
281;"Add field in Doc 0001.0003.1 for signature of process performed";30/09/2025;;Sigrid Eisner;;13/10/2025 09:01 AM;Documentation (SOP etc.);Normal;Action performed;"Effectiveness evaluation is not deemed necessary for this CAPA.";"A  field will be added in Doc 0001.0003.1 where the operator who performs the thawing also signs for performing the process with date and signature. Other processes and anlyses have this, and it will make it more clear who have performed the thawing.";;
280;"Replace analytical balance DIA010 with EQ1070 Ohaus PX224";30/01/2026;;Jim Eero Lamppu;;06/01/2026 02:09 PM;Equipment / premises;Normal;Action performed;"As the replacement balance range and resolution is equal to the replaced balance range and resolution it is evaluated that this CAPA will not require an effectivness evaluation.";"Replace the faulty, DIA010 Ohaus Explorer E10640, Balance with a similar balance. The replacement balance need to have approximately the same ranges and resolution, replacing the DIA010 fully.   Replacement balance EQ1070 (DIA235) Ohaus PX224 has the range and resolution to replace the faulty balance. Pan size and shape is identical. It will need to be implemented according to SOP3002. The EQ1070 (DIA235) has completed URS,  IQOQ and repeatability testing that needs to be transferred by cover pages.   DIA010 needs to be decommissioned. Replace DIA010 with DIA235 in maintenance register. Update or replace SOP4021 and DOC4021.1";;
279;"Perform all necessary gowning, ABC, and D-revalidations due in the summer before end of May";31/05/2026;;Gudrun Richstad;"CAPA Execution";;System /process;Normal;;"No new NC in the 12 months after this CAPA has been executed.";"All re-validations with dead lines expiring during the summer months will be performed by the end of May 2026 to avoid operators not being validated during summer when less poeple are at work.";;
278;"Set up automatic notifications in BizzMine for gowning, ABC, and D-revalidations one month before deadline";31/08/2025;06/08/2026;Joakim Sørgård;"CAPA Effectiveness Evaluation";;System /process;Normal;Action performed;"No new NCs registered in the 12 months after this CAPA is executed.";"Set up automatic notifications in BizzMine for gowning, ABC, and D-revalidations one month before deadline. Production Management and relevant operator will receive notifications.";;
277;"Discard ABS079-02 cellbanks (PSS1, PSS2 and MCB) and archive documentation";07/08/2025;;Sigrid Eisner;"CAPA Execution";;Other;High;;"3 months after completeion of this CAPA, a second operator is to check that no ABS079-02 cellbanks (PSS1, PSS2 or MCB) frozen before 31.07.2025 are within nitrogen tank or cellstock. ";"Discard ABS079-02 cellbanks (PSS1, PSS2 and MCB) from the Nitrogen tank, from cellstock register and batch documentation is to be archived";;
276;"Optimise medium register to ensure critical data is added";31/10/2025;08/02/2026;Joakim Sørgård;"CAPA Effectiveness check - QA Approval";;System /process;Normal;Action performed;"95% of medium used for next four batches after optimalisation are correct";"Update medium register to make critical fields mandatory (medium, serum, additives), and for fields that are not needed, field should be filled out with NA and not just kept empty.   evaluate color coding for best visibility of errors.";"No NC for incorrect medium from the four batches (B9359, B9360, B9361, B9362) after this CAPA was executed has been registered. ";
275;"Inform customer of wrong number of vials generated";30/08/2025;;Gudrun Richstad;;26/09/2025 08:16 AM;Other;High;Action performed;"NA";"Inform customer that only 16 vials of 18 were generated for Sp2 cell bank and ABS079-02 cellbank (ABS appropval is pending NC394 and 396), ";;
274;"Update SOP0003 with clear instructions on labelling subsequent cellbanks and how to handle failed cell banks";31/10/2025;;Sigrid Eisner;"CAPA Execution";;System /process;High;;"12 months after this capa is executed, review 4 cell banks generated where at least 3 are numbered correctly according to updated SOP, and if discarded discarded correctly";"Update SOP0003 with clear instructions on labelling subsequent cellbanks and how to handle failed cell banks, to include: - how handle or discard failed cell banks - how to continue labelling after a failed cellbank  - clear instructions on how to label and number cellbanks, including that numbering must be used every time. - Re-write section on vials, where it must be clear that QC vials are an addition to the ordered amount of vials stated in PS. - include that each cellbank project should have a responsible person, what that entails and define number of cellbanks an operator can be responsible for at any given time.";;
273;"Streamline registration of heat inactivated FBS";30/09/2025;;Yngve Ness;"CAPA Execution";;System /process;Low;;"NA";"Fetal Bovine Serum (FBS) needs to be heat inactivated (HI) according to SOP2017. Currently this SOP mandates that the HI bottles should be labelled with bottle number. This individual HI numbering is not considered to provide useful information to the production.   The justification for this is that all the bottles are treated in the same manner according to SOP2017. The lot and cat number of FBS used will be recorded and kept within the batch documentation. The individual HI bottles do not contribute to traceability or provide unique quality information regarding the inactivation process. This change is done with a risk-based approach for streamlining registration in medium registry without compromising product quality. This reduces number of redundant individual identifiers which alleviates QMS pressure.    For completion of CAPA the SOP2017 needs to be updated with omission of the HI bottle numbering. ";;
272;"Update technical section of production specification with control points for mycoplasma check and starting material";20/11/2025;;Sigrid Eisner;;30/10/2025 10:45 AM;Documentation (SOP etc.);Normal;Action performed;"Check after 3 months, that the thawing has been performed accoring to specification in updated PS template.";"Update PS template to include two new control points (starting material and documented mycoplasma test) in the technical information section in PS to secure that information about starting material have been mycoplasma-tested before being transferred into clean room.";;
271;"Evaluation of alternatives or improvements to the nitrogen inventory database";31/12/2025;;Joakim Sørgård;;11/03/2026 03:22 PM;System /process;Normal;Action performed;"This CAPA will be seen as successful if a decision to start implementing or improving a system for data logging of nitrogen tanks has been made by the end of Q3 2025. ";"While SharePoint lists are effective for managing small-scale data entries, they encounter performance limitations when handling extensive datasets. Although a SharePoint list can accommodate up to 30 million items, practical usage often encounters challenges beyond 5,000 items due to the list view threshold, leading to potential performance issues. This limitation becomes particularly evident in scenarios requiring complex, multi-level hierarchical structures, such as the organization of nitrogen tanks (Tank → Rack → Box → Position). Consequently, users may experience difficulties in expanding and viewing all positions within a specific tank or rack, potentially leading to operational inefficiencies. This is identified as one of the root causes in NC366. Additionally, managing historical data within SharePoint can be challenging. For instance, accidental deletions, such as the removal of a location in the cell stock, have necessitated external intervention to restore information by contacting Braathe (NC191), highlighting potential vulnerabilities in data integrity.This CAPA aims to evaluate alternative solutions for nitrogen storage logging to enhance scalability, data integrity, and user accessibility. The evaluation will encompass, but is not limited to, the following options:- Enhancing SharePoint Lists: Investigate potential improvements through customization to better support large datasets and complex hierarchical structures.- Integration with Other Microsoft Applications: Explore exporting data to applications such as PowerApps, which offer customizable data models and may provide improved performance and flexibility.- Adoption of Specialized Software: Consider implementing software solutions specifically designed for nitrogen storage or similar inventory systems, which may offer tailored functionalities and better performance.- Utilization of the NOVA Platform: Assess the feasibility of leveraging the existing NOVA platform license to manage nitrogen storage logging, evaluating its capabilities in handling complex data structures and large volumes.Evaluation Criteria:Each alternative will be assessed based on the following criteria:- Cost: Initial investment, licensing fees, and long-term maintenance expenses.- Ease of Data Transfer: Complexity and reliability of migrating existing data to the new system.- Data Integrity: Ability to maintain accurate and secure data records, including robust backup and recovery mechanisms.- User Interface: Intuitiveness and efficiency of the user interface, facilitating ease of use and reducing the learning curve for personnel.   The outcome of this evaluation will provide a comprehensive overview of the benefits and challenges associated with each approach, guiding the selection of the most suitable solution for nitrogen storage inventory management.";;
270;"Evaluation of suboptimal storage temperature on ADCF medium";31/10/2025;31/12/2026;Nina Granum;"CAPA Effectiveness Evaluation";;Material;Normal;Action performed;"NA";"Test medium stored at DHL over 5 days to conclude on usability. compare to medium stored at correct temperature.   parameters that should be considered: Chemical Instability: Some medium components (e.g., amino acids, vitamins, growth factors) may degrade outside the recommended temperature range. Test glutamine, ammonia, glucose and lactate on BioAnalyser.  Precipitation: Certain salts or supplements might crystallize or precipitate at 0°C, altering medium composition. Perform visual inspection.  Microbial Contamination: Temperatures above 8°C could accelerate microbial growth if contamination occurs. Aseptically perform a microbial growth test  (streak out on plates + 50 ml in tubes) according to normal regime.  Product Performance: The functionality of the medium may be affected, leading to suboptimal cell growth. Perform test productions.    Testing should be performed according to an approved protocol, and usabiltiy of medium concluded in a report. Only if medium is considered to be ok to use, can it be released from quaranteen.";;
269;"Inform stakeholders of correct isotype for My-11";30/05/2025;;Gudrun Richstad;;05/03/2025 03:02 PM;Other;High;Action performed;"NA";"Inform all stakeholders, by notifying Radiometer (customer that purchases My-11) and update internal register for My-11 to be IgG2a and not IgG3 as it is currently. ";;
268;"Check the lists from nitrogen inventory versus cellstock";20/05/2025;;Gudrun Richstad;;07/02/2025 08:55 AM;Material;Normal;;"This CAPA is seen as effective if there is no mismatch between physical location in the nitrogen tank vs the cellstock database within a 6 month period. ";"Go through the manually written lists from nitrogen inventory.   This includes checking positions of nitrogen storage against the cellstock database positions with regard to cell line and description.  Some positions will not match as they have since been thawed for production after the inventory check, this can be seen by looking at the position history of the specific cell stock location.";;
267;"Update SOP5039 Corrective action and preventive action";24/05/2025;;Anna Huk;"CAPA Execution";;Documentation (SOP etc.);Normal;;"One year after CAPA is implemented, check if CAPAs with delays are consistently documented in terms of justification and risk evaluation. CAPA will be considered effective if 85% of inspected overdue/cancelled CAPA had proper documented justification and risk.";"Update SOP5039 "Corrective action and preventive action" procedure to require mandatory documentation of the rationale when a CAPA is either:1.	Executed with delay: Include a clear explanation of the reasons behind the delay, associated risk and if possible what steps were taken to mitigate the risk.2.	Cancelled: Provide a detailed justification for the cancellation, including a review of the initial problem statement and evidence supporting why the CAPA is no longer necessary.";;
266;"Strengthen CAPA Oversight by implementing an overview system of pending CAPA, its timeline and priority";24/05/2025;;Anna Huk;"CAPA Execution";;System /process;Normal;;"Measure the proportion of overdue CAPAs that have been successfully completed since the tracker was put in place. CAPA will be considered effective if 85% of CAPA will be executed on time, in one year since implementation.";"Strengthen CAPA Oversight of CAPA execution by creating a tracker in eQMS. The tracker should provide a clear overview of all opening CAPA executions, their timeline and priority. That tracker should be used to communicate overdue records, associated risk to leader group and managment.";;
265;"Update SOP4008 to ensure correct placement of CO2 sensor within the incubator";30/06/2025;29/11/2025;Suyog Basnet;;25/11/2025 04:19 PM;Documentation (SOP etc.);Normal;Action performed;"6-9 months after execution of this capa perform trend reviews for all incubators within the 2nd floor cleanroom to ensure that CO2 level has not been lower than threshould for over 24 hours.";"Update SOP4008 with instructions to ensure that the CO2 sensor is not obstructed when placing objects within the incubator.";"Attached is a trend review on six incubators CO2 sensor values across 9 months. According to the attached trend review, there was one instance of lower alarm that extended 24 hours. This instance was due to a controlled calibration of Sirius logger. Apart from this minor instance, all excursions were back within lower limits within 24 hours. The one instance is negletable as this was part of the routinely performed annual calibration of Sirius loggers.";
264;"Evaluate possible alternative for using Nextera for Flow cytometry instrument service";31/10/2025;;Gudrun Richstad;;20/11/2025 09:13 AM;Other;Normal;Action performed;"NA";"Evaluate different possibilities for flow cytometry service provided by Nextera. Possible alternative: - the cost of purchasing own Flow cytometry instrument (including spare parts, employee training and annual service) - using an external laboratory service organisation to perform service for Curida Diatec - different suppliers which can provide access to flow cytometry instruments in the Oslo region.";;
263;"Update DOC0002.1 to specify incubation time";08/01/2025;;Gudrun Richstad;;24/01/2025 09:26 AM;Documentation (SOP etc.);Low;;"No cell banks have been checked for infection with incorrect incubation period.";"Update DOC0002.1 to include specified incubation period for checking of infection after freezing cell banks. ";;
262;"Implement UPS system as a instrument";30/04/2025;;Jim Eero Lamppu;;08/05/2025 02:37 PM;Equipment / premises;Normal;Action performed;"NA";"Implement UPS system into Bizzmine system as a part of Diagnostics footprint for easier maintenance managing.";;
